2
# Numeric modifiers can now be expressions, enclosed in square brackets.
# No spaces are allowed within the expression, except as part of a zone/location name.
# + - * / ( ) have their usual mathematical meaning and precedence.
# ^ is exponentiation, with the highest precedence.
# Functions available:
#	ceil(x) floor(x) sqrt(x) min(x,y) max(x,y) abs(x)
# Location functions: loc(text) zone(text)
#	These have a value of 1 if the current adventure location or zone contains the
#	specified text, 0 elsewhere.
# Path function: path(text)
#	This has a value of 1 if the player's path matches the text.
# Familiar function: fam(text)
#	This has a value of 1 if the player's familiar type contains the text, else 0.
# Weapon function: mainhand(text)
#	This has a value of 1 if the player's mainhand weapon class (sword, club, etc.)
#	contains the text.
# Preferences function: pref(text)
# Effect function: effect(text)
#	This returns the number of turns remaining of the effect uniquely matching text.
# Resistance function: res(text)
#	This returns the number of resistance levels for the listed element
# Class function: class(text)
#	This has a value of 1 if the player's class matches the text.
# Skill function: skill(text)
#	This has a value of 1 if the player has the skill matching the text.
# There can be at most one of each text function in any single expression.
# Upper-case letters are varying values:
#	A - number of Ascensions
#	B - Blood of Wereseal effect
#	C - Clancy's level
#	D - Drunkenness
#	E - active (nonintrinsic) Effects
#	F - Fullness
#	G - Grimace darkness (0..5)
#	H - Hobo Power
#	I - Disco Momentum
#	J - 1 on Festival of Jarlsberg, 0 otherwise
#	K - Smithsness
#	L - player Level
#	M - total Moonlight (0..9)
#	N - AudieNce
#	P - Pasta Thrall level
#	R - Reagent potion duration
#	S - Spleenness
#	T - Turns remaining of this effect
#	U - telescope Upgrades
#	W - familiar Weight
#	X - gender (-1=male, 1=female)
#	Y - furY
#
# Items which "change with every new day":
#
# Tuesday's Ruby
#	Sunday		+5% Meat from Monsters
#	Monday		Muscle +5%
#	Tuesday		Regenerate 3-7 MP per adventure
#	Wednesday	+5% Mysticality
#	Thursday	+5% Item Drops from Monsters
#	Friday		+5% Moxie
#	Saturday	Regenerate 3-7 HP per adventure

# Hats section of modifiers.txt

7-Foot Dwarven mattock	Weakens Monster
# 7-inch discus: On Critical:  Music Snobbery!
7-inch discus	Moxie Percent: +5, Weapon Damage Percent: +10
a butt tuba	Sleaze Damage: +15
accord ion	Hot Damage: [5*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 10
accordion file	MP Regen Min: [2*(1+skill(Accordion Appreciation))], MP Regen Max: [4*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 10
Accordion of Jordion	Item Drop: [5*(1+skill(Accordion Appreciation))], Meat Drop: [10*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 14
accordionoid rocca	Damage Reduction: [10*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 18
acoustic guitarrr	Meat Drop: +8
# airblaster gun: Blasts Air (Duh.)
alarm accordion	Adventures: [3*(1+skill(Accordion Appreciation))], Initiative: [20*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 20
amok putter	Hot Damage: +9, Cold Damage: +9, Initiative: +18
ancient ice cream scoop	Spell Damage: +20
ancient stone fist	Damage Reduction: 2, Maximum HP: +20
anger blaster	Hot Damage: +10
antique accordion	Song Duration: 10
antique machete	Muscle Percent: +5
antique spear	Initiative: -30, Weakens Monster
# archaeologing shovel
armgun	Weapon Damage: +10, Critical Hit Percent: +5
arse-shooting crossbow	Muscle: +15, Mysticality: +15, Moxie: +15
asbestos crossbow	Moxie: +7, Muscle: +5
asbestos staff	Mysticality: +7, Moxie: +5
asbestos sword	Muscle: +7, Mysticality: +5
asparagus knife	Stench Damage: +1
astral bludgeon	Muscle Percent: +25, Weapon Damage: +20, Critical Hit Percent: +15
astral longbow	Moxie Percent: +25, Ranged Damage: +20, Meat Drop: +30
astral mace	Muscle Percent: +25, Weapon Damage: +20, PvP Fights: +4
astral pistol	Moxie Percent: +25, Ranged Damage: +20, PvP Fights: +4
autocalliope	Spooky Damage: [2*(1+skill(Accordion Appreciation))], Stench Damage: [2*(1+skill(Accordion Appreciation))], Hot Damage: [2*(1+skill(Accordion Appreciation))], Cold Damage: [2*(1+skill(Accordion Appreciation))], Sleaze Damage: [2*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 15
# automatic catapult
# Ax of L'rose
bad-ass club	Weapon Damage: +15, Monster Level: +10, Class: "Seal Clubber"
bag of unfinished business	Stench Damage: +40, Familiar Weight: +5
Bal-musette accordion	PvP Fights: [4*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 10
balloon sword	Never Fumble, Weapon Damage: -2, Clownosity: +2
# bamboo bokuto
bar whip	Familiar Weight: +2
baritone accordion	HP Regen Min: [2*(1+skill(Accordion Appreciation))], HP Regen Max: [4*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 7
Barney's rake	Spooky Damage: +3, Muscle: +3
basic meat crossbow	Moxie: +1
basic meat spork	Muscle: +3, Weapon Damage: +3
basic meat staff	Mysticality: +1
basic meat sword	Muscle: +1
bat whip	Spell Damage: +10, Monster Level: +5
batblade	Weapon Damage: +15
battery-powered drill	Spell Damage Percent: +100, Maximum HP: +50, Maximum MP: +50, Monster Level: +10, Meat Drop: +10
beaver spear	Muscle: +5, Weapon Damage: +10
beer bong	Stench Damage: +15, Monster Level: +5
beer-a-pult	Stench Damage: +10, Sleaze Damage: +10
beer-battered accordion	Sleaze Damage: [2*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 6
beer-soaked mop	Sleaze Damage: +3
big bass drum	Maximum HP: +20, Damage Absorption: +8
# big stick
big stirring stick	Mysticality: +5, Spell Damage: +5
Bigger Bugfinder Blade	Muscle: +11, Mysticality: +11, Moxie: +11, Adventures: +3
# bill bec-de-bardiche glaive-guisarme
# bindlestocking: On Critical:  Merry Crimbo!
bindlestocking	Item Drop: +10, Weapon Damage: +25
Bjorn's Hammer	Muscle: +10, Class: "Seal Clubber"
# black blade: Successful attacks restore some HP
black blade	Spooky Damage: +10
black kettle drum	Moxie: +5, Maximum HP: +30, Maximum MP: +30
black sword	Critical Hit Percent: +7, Weapon Damage: +7
blammer	Critical Hit Percent: +7, Weakens Monster
Bloodbath	Spooky Resistance: +2, Stench Resistance: +2, Hot Resistance: +2, Cold Resistance: +2, Sleaze Resistance: +2, HP Regen Min: 25, HP Regen Max: 30, MP Regen Min: 25, MP Regen Max: 30
blunt icepick	Cold Damage: +15
boilgun	Hot Damage: +8, Maximum MP: +10
# bone and arrows: +30% Damage vs. Skeletons
bone bandoneon	Spooky Damage: [7*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 11
# bone crusher: +30% Damage vs. Skeletons
bone flute	Spooky Damage: +11
bone rattle	Spooky Damage: +4
# bonerang: +10% Damage vs. Skeletons
# Bonestabber: +30% Damage vs. Skeletons
Bonestabber	Spooky Resistance: +3, Spooky Damage: +10, Monster Level: +5
# boning knife: +10% Damage vs. Skeletons
# boot knife
# bottle-rocket crossbow: Shoots Bottle-Rockets!
bottle-rocket crossbow	Moxie Percent: +15, Meat Drop: +15, Item Drop: +10, Softcore Only
bounty-hunting rifle	Item Drop: +15
bow staff	Mysticality: +5, Weapon Damage: +3
boxing glove on a spring	Moxie: +3, Weapon Damage: +4, Initiative: +10
brand new key	Muscle Percent: +5, Weapon Damage: +20
breadchucks	Weapon Damage: +10, Hot Damage: +10
BRICKO sword	Weapon Damage: +6
Brimstone Bludgeon	Muscle Percent: +50, Mysticality Percent: -20, Weapon Damage: +30, Brimstone
# broken beer bottle
broken sword	Spooky Resistance: +1
bubble bauble bow	Moxie: +3, Mysticality: +2, Item Drop: +5
bubblewrap crossbow	Moxie: +3, Mysticality: +2
bubblewrap staff	Mysticality: +3, Muscle: +2
bubblewrap sword	Muscle: +3, Moxie: +2
bucket of anniversary lard	Muscle: +1, Mysticality: +1, Moxie: +1
buffalo blade	Muscle: +5, Hot Damage: +3, Sleaze Damage: +2
# bugbear-smiting sword: +100% Damage vs. Bugbears
bugbear-smiting sword	Weapon Damage: +10, Muscle: +10
Bugfinder Blade	Muscle: +7, Mysticality: +7, Moxie: +7, Adventures: +3
butterfly knife	Moxie: +6
Byte	Spell Damage Percent: +100, Spell Critical Percent: +15
C.B.F.G.	Hot Damage: +10, Stench Damage: +10
C.H.U.M. knife	Stench Damage: +30
Cajun accordion	Maximum HP: [15*(1+skill(Accordion Appreciation))], Maximum MP: [15*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 10
calavera concertina	Moxie: [3*(1+skill(Accordion Appreciation))], Song Duration: 7
can cannon	Moxie: +3, Monster Level: +3, Weapon Damage: +3
can of fake snow	Cold Damage: +5
can of maces	Weapon Damage: +2, Sleaze Resistance: +1
# can-you-dig-it?: + ???
# candy knife
candy knuckles	Weapon Damage: +25
candy stick	Spell Damage Percent: +50, Candy Drop: +40
# cap gun: Bang Bang!
cap gun	Muscle Limit: 200, Mysticality Limit: 200, Moxie Limit: 200
cardboard crossbow	Moxie: +3, Weapon Damage: +3
cardboard katana	Weapon Damage: +7, Synergetic
cardboard staff	Mysticality: +3, Weapon Damage: +3
cardboard sword	Muscle: +3, Weapon Damage: +3
cardboard wakizashi	Damage Reduction: 4, Synergetic
carob cannon	Moxie: +7, Adventures: +3, Stench Damage: +5
carrot-on-a-stick	Moxie: +7, Candy Drop: +50
cast-iron legacy paddle	Muscle: +15, Weapon Damage: +10
Cerebral Crossbow	Cold Damage: +3, Spooky Damage: +3, Sleaze Damage: +3
# charming flute: +20 Damage vs. Snakes
charming flute	Moxie: +8
# cheap plastic blowgun: 50% chance of poisoning opponent.
cheap plastic bottle opener	Sleaze Damage: +2
cheap plastic kazoo	Monster Level: +10
Chelonian Morningstar	Muscle: +11, Never Fumble, Class: "Turtle Tamer"
Chester's bag of candy	Sleaze Damage: +30, Moxie Percent: +10, Class: "Disco Bandit"
# chisel
# chocolate cow bone: Candilicious Smacks!
chocolate cow bone	Candy Drop: +30
chopsticks	Initiative: +20, Spell Damage: +12
chrome crossbow	Moxie: +7, Adventures: +3
chrome staff	Mysticality: +7, Adventures: +3
chrome sword	Muscle: +7, Adventures: +3
# Cloaca-Cola-issue combat knife: Drains MP on Successful Hit
clock-cleaning hammer	Weapon Damage: +20
# clockwork crossbow: Weakens Monster on Critical Hit
clockwork crossbow	Ranged Damage: +10, Critical Hit Percent: +7
# clockwork staff: Restores 3-24 MP on Critical Hit
clockwork staff	Spell Damage: +10, Critical Hit Percent: +15
# clockwork sword: Heals 3-24 HP on Critical Hit
clockwork sword	Weapon Damage: +10, Critical Hit Percent: +15
# clown hammer: Squeaky!
clown whip	Sleaze Resistance: +2, Clownosity: +2
club of corruption	Weapon Damage: +3, Class: "Seal Clubber"
club of the five seasons	Spooky Damage: +5, Stench Damage: +5, Hot Damage: +5, Cold Damage: +5, Sleaze Damage: +5
# coal shovel: Lets you hurl hot coals at your foes
coal shovel	Hot Damage: +20
Coily&trade;	Moxie Percent: +15, Item Drop: +10, Meat Drop: +25
combat fan	Spooky Damage: +3, Stench Damage: +3, Hot Damage: +3, Cold Damage: +3, Sleaze Damage: +3
# cool whip
corn holder	Spell Damage: +6
corrupt club of corrupt corruption	Weapon Damage: +9, Class: "Seal Clubber"
corrupt club of corruption	Weapon Damage: +5, Class: "Seal Clubber"
costume sword	Weapon Damage: -10, Initiative: +30
# cozy bazooka: Makes you a much better diver
cozy bazooka	Moxie Percent: +15, Meat Drop: +20, Initiative Penalty: [30*(zone(The Sea)+loc(The Sunken Party Yacht))], Item Drop Penalty: [30*(zone(The Sea)+loc(The Sunken Party Yacht))], Meat Drop Penalty: [30*(zone(The Sea)+loc(The Sunken Party Yacht))]
# cozy scimitar: Makes you a much better diver
cozy scimitar	Muscle Percent: +15, Weapon Damage Percent: +50, Initiative Penalty: [30*(zone(The Sea)+loc(The Sunken Party Yacht))], Item Drop Penalty: [30*(zone(The Sea)+loc(The Sunken Party Yacht))], Meat Drop Penalty: [30*(zone(The Sea)+loc(The Sunken Party Yacht))]
crazy bastard sword	Weapon Damage: +30, Critical Hit Percent: +10, PvP Fights: +6
creepy-ass club	Weapon Damage: +25, Monster Level: +15, Sleaze Damage: +15, Class: "Seal Clubber"
Crimbo sword	Weapon Damage: +5
Crimbo ukulele	Item Drop: +10
# Crimbomination Contraption
crowbar	Initiative: +25
crowbarrr	Initiative: +15
curdflinger	Moxie: +3, Weakens Monster
curmudgel	Monster Level: +8, Weapon Damage: +10
cursed cutlass	Muscle: +15
cyber-mattock	Item Drop: +5, Meat Drop: +10
deathchucks	Weapon Damage Percent: +75, Monster Level: +15
# debonair deboner: +25% Damage vs. Skeletons
debonair deboner	Moxie: +10
# decaying wooden oar
deep six-shooter	Ranged Damage: +40, Critical Hit Percent: +6
demon whip	Hot Damage: +3, Sleaze Damage: +3, Stench Damage: +3
denim axe	Muscle: +10, Weapon Damage: +10
dense meat crossbow	Moxie: +3
dense meat staff	Mysticality: +3
dense meat sword	Muscle: +3
dented harmonica	Mysticality: +1
# depleted Grimacite hammer: Needed for depleted Grimacite smithing
depleted Grimacite hammer	Monster Level: [5*G]
depleted Grimacite kneecapping stick	Critical Hit Percent: [ceil(G/2)]
diabolical crossbow	Spooky Damage: +30, Critical Hit Percent: +10, Slime Hates It: +1
diamond-studded cane	Moxie: +5, Class: "Disco Bandit"
didgeridooka	Moxie: +9
# disco ball
Disco Banjo	Moxie: +7, DB Combat Damage: +3, Class: "Disco Bandit"
dishrag	Stench Damage: +5
double-barreled sling	Sleaze Damage: +5, Cold Resistance: +1
doubt cannon	Weakens Monster
Dr. Hobo's scalpel	Weapon Damage: +3, Stench Damage: +1
# dreadful glove: Lets you find 5% more Krueggerands
dreadful glove	Critical Hit Percent: +5
dreadlock whip	Sleaze Damage: +5, Stench Damage: +5, Monster Level: +10
dripping meat crossbow	Moxie: +2
dripping meat staff	Mysticality: +2
dripping meat sword	Muscle: +2
Drowsy Sword	Weakens Monster, Monster Level: -10
drywall axe	Muscle: +2, Mysticality: +2, Moxie: +2, Muscle Percent: +3, Mysticality Percent: +3, Moxie Percent: +3
duck-on-a-string	Weapon Damage: +5, Item Drop: +5
duct tape sword	Damage Absorption: +40, Item Drop: +5
dueling banjo	Moxie: +4, Monster Level: +5
# dwarvish war mattock: Magical Blue Glow
eggbeater	Spell Damage: +7
# El Vibrato energy spear
electric crutch	Spell Damage: +20
elegant nightstick	Maximum HP: +30, Maximum MP: +15
# elephant stinger: 50% chance of poisoning opponent.
elephant stinger	Muscle: +3
elevenderizing hammer	Muscle: +11, Mysticality: +11, Moxie: +11, Weapon Damage: +11
# elven whittling knife: On Critical:  Whittles enemy down
# especially homoerotic frat-paddle
evil paper umbrella	Monster Level: +1
evil-ass club	Weapon Damage: +25, Monster Level: +15, Spooky Damage: +15, Class: "Seal Clubber"
eXtreme meat crossbow	Moxie: +7
eXtreme meat staff	Mysticality: +7
eXtreme meat sword	Muscle: +7
FDKOL fire hose	Cold Damage: +200
fear condenser	Spooky Damage: +10
fetus-smashing club	Adventures: +3
filthy pestle	Spell Damage: +7
finger cymbals	Maximum MP: +20
fire axe	Cold Damage: +200
fire poi	Hot Damage: +15, Moxie: +3
fish bazooka	Moxie Percent: +5, Meat Drop: +10
fish scimitar	Muscle Percent: +5, Weapon Damage Percent: +10
fish stick	Mysticality Percent: +5, Spell Damage Percent: +15
# Flail of the Seven Aspects: Handle Doubles as a Turtling Rod
# Flail of the Seven Aspects: Special Attack:  Turtle of Seven Tails
Flail of the Seven Aspects	Muscle: +15, Never Fumble, Class: "Turtle Tamer"
# flamin' bindle: On Critical: Deals 70-100 <font color=red>Hot Damage</font>
flamin' bindle	Item Drop: +10, Hot Damage: +25
flaming cardboard sword	Muscle: +3, Weapon Damage: +3, Hot Damage: +3
flaming crutch	Hot Damage: +3
flaming juggler's balls	Hot Damage: +10, Experience: +2, Softcore Only
flaming sword	Hot Damage: +20, Spell Critical Percent: +10, Never Fumble
flamingo mallet	Monster Level: +4, Meat Drop: +5
fleetwood chain	Weapon Damage: +5
fluorescent lightbulb	Maximum MP: +30
flypaper staff	Mysticality: +3, Weapon Damage: +3, Spooky Damage: +3
foot-long hot daub	Hot Damage: +9, Hot Spell Damage: +9
fouet de tortue-dressage	Familiar Weight: +10, Familiar Damage: +10
# Frankly Mr. Shank: Disco Bandit Combat Skills weaken enemies by an additional 25%
# Frankly Mr. Shank: (+% to Moxie Based on Smithsness)
Frankly Mr. Shank	Smithsness: +5, Class: "Disco Bandit", Moxie Percent: [2*K]
# freezin' bindle: On Critical: Deals 70-100 <font color=blue>Cold Damage</font>
freezin' bindle	Item Drop: +10, Cold Damage: +25
frigid hanky&#363;	Cold Damage: +6, Moxie: +2, Wiki Name: "frigid hankyu"
frigid-ass club	Weapon Damage: +25, Monster Level: +15, Cold Damage: +15, Class: "Seal Clubber"
Frost&trade; brand sword	Muscle: +3, Monster Level: +3, Cold Damage: +3
Frosty's arm	Weapon Damage: +30, Cold Damage: +30
Frosty's nailbat	Muscle Percent: +30, Critical Hit Percent: +15, Cold Damage: +30, Class: "Seal Clubber"
Frosty's snowball sack	Cold Damage: +50
frozen nunchaku	Weapon Damage: +3, Cold Damage: +3
frozen seal spine	Cold Damage: +20, HP Regen Min: 5, HP Regen Max: 10, MP Regen Min: 5, MP Regen Max: 10, Class: "Seal Clubber"
frying brainpan	Hot Spell Damage: +40, Maximum MP: +200
ga-ga radio	Experience: +1, Weapon Damage: +5, Maximum MP: +20
gatorskin umbrella	Stench Resistance: +3, Weapon Damage: +15
ghast iron cleaver	Spooky Damage: +15, Hot Damage: +15
ghost accordion	Spooky Damage: [5*(1+skill(Accordion Appreciation))], Booze Drop: [15*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 16
giant artisanal rice peeler	Spell Damage: +15
giant cactus quill	Critical Hit Percent: +7, Maximum HP: +30
giant candy cane	Candy Drop: +40
giant cheesestick	Mysticality: +5, Sleaze Spell Damage: +11
giant discarded plastic fork	Critical Hit Percent: +10, Initiative: -10
giant driftwood sculpture	Moxie: +8, Weapon Damage: +15
# giant fishhook
giant foam finger	Damage Reduction: 3
giant needle	Monster Level: +5
giant safety pin	Weapon Damage: +10, Weakens Monster
giant shrimp fork	Mysticality Percent: +20, Spell Critical Percent: +10, Maximum MP: +100
giant spider leg	Spooky Damage: +10, Critical Hit Percent: +10
giant turkey leg	Weapon Damage Percent: +50, Combat Rate: +5
# gift-a-pult: Allows hurling of Gift Items
Ginsu&trade;	Food Drop: +100, Weapon Damage Percent: +100
glistening staff	Mysticality: +2, Sleaze Damage: +3
# glow-in-the-dark dart gun: Super Accurate!
glow-in-the-dark dart gun	Moxie: [9-M], Ranged Damage: [2*(9-M)]
gnauga hide whip	Item Drop: +3
gnawed-up dog bone	Familiar Weight: +5, Experience (familiar): +1
Gnollish autoplunger	Mysticality: +3
# Gnollish flyswatter
Gnollish pie server	Spell Damage: +3
# Gnollish plunger
Gnollish slotted spoon	Spell Damage: +3
goatskin umbrella	Stench Damage: +15
# goblin autoblowgun: 50% chance of poisoning opponent.
goblin autoblowgun	Ranged Damage: +5
# goblin hunting spear: +15 Damage vs. Jungle Beasts
goblin hunting spear	Weapon Damage: [5+15*loc(jungle)]
goulauncher	Moxie: +4, Spooky Damage: +5
grass blade	Weapon Damage: +5
grass whistle	Moxie: +6, MP Regen Min: 4, MP Regen Max: 6
grassy cutlass	Weapon Damage: +11
grave robbing shovel	Spooky Damage: +3, Initiative: -10
grease gun	Moxie: +3, Weapon Damage: +3, Sleaze Damage: +3
Great Wolf's right paw	Weapon Damage: +50, Weapon Damage Percent: +50, Critical Hit Percent: +10, Class: "Seal Clubber", Single Equip
# Great Wolf's rocket launcher: Lets you fire rockets <font color=white>Duh</font>
Great Wolf's rocket launcher	Ranged Damage: +50, Critical Hit Percent: +20, Single Equip
Greek Pasta of Peril	Mysticality: +11, Food Drop: +10, Initiative: +25, Class: "Pastamancer"
Grimacite gat	Initiative: +20, Moxie Percent: [10*G]
Grimacite glaive	Weapon Damage: +15, Muscle Percent: [10*G]
groping claw	Weakens Monster, Sleaze Damage: +30
guancertina	Stench Damage: [4*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 9
gummi sword	Muscle: +7, Candy Drop: +50
# haiku katana: Allows use of seasonal attacks
haiku katana	Muscle Percent: +15, Critical Hit Percent: +5, Weapon Damage Percent: +50, Softcore Only
hairy staff	Mysticality: +7, Spell Damage: +7, MP Regen Min: 5, MP Regen Max: 7
half-melted spoon	Spell Damage: +10, Hot Spell Damage: +10
# half-size scalpel: Makes you look like a doctor
half-size scalpel	Weapon Damage Percent: +10, Surgeonosity: +1
half-sized guitar	Moxie: +2, Ranged Damage: +4
halfberd	Weapon Damage: +2
halibut	Stench Damage: +100, Sleaze Damage: +100, Moxie Percent: -10
Hammer of Smiting	Muscle: +16, Critical Hit Percent: +7, Class: "Seal Clubber"
hammerus	Spooky Damage: +15
# Hand that Rocks the Ladle: (+% to Mysticality Based on Smithsness)
# Hand that Rocks the Ladle: Eminently Twistable
Hand that Rocks the Ladle	Spooky Damage: +5, Stench Damage: +5, Hot Damage: +5, Cold Damage: +5, Sleaze Damage: +5, Smithsness: +5, Class: "Pastamancer", Mysticality Percent: [2*K]
hand-carved bokken	Muscle Percent: +5, Weapon Damage: +15, Critical Hit Percent: +5
hand-carved bow	Moxie Percent: +10, Ranged Damage: +10, Initiative: +20
hand-carved staff	Mysticality Percent: +10, Spell Damage: +10, Spooky Resistance: +1, Stench Resistance: +1, Hot Resistance: +1, Cold Resistance: +1, Sleaze Resistance: +1
happiness	Hot Damage: +12
haunted paddle-ball	Monster Level: +5, Spooky Damage: +10
heavy leather-bound tome	Weakens Monster
heavy metal thunderrr guitarrr	Weapon Damage: +16
# heteroerotic frat-paddle
hilarious comedy prop	HP Regen Min: 4, HP Regen Max: 6, MP Regen Min: 4, MP Regen Max: 6
hippo whip	Monster Level: +10
hippy bongo	Stench Damage: +5
# Hodgman's whackin' stick: On Critical: Insanity!
Hodgman's whackin' stick	Muscle Percent: +20, Mysticality Percent: +20, Moxie Percent: +20
homoerotic frat-paddle	Sleaze Damage: +4
honey dipper	Mysticality Percent: +5, MP Regen Min: 3, MP Regen Max: 7, Spell Damage: +15
hot cross bow	Moxie: +7, Muscle: +5, Hot Damage: +5
hot-ass club	Weapon Damage: +25, Monster Level: +15, Hot Damage: +15, Class: "Seal Clubber"
hothammer	Hot Damage: +50
huge mirror shard	Weapon Damage: +5
huge mosquito proboscis	HP Regen Min: 8, HP Regen Max: 12, Maximum HP: +20
huge spoon	Spell Damage: +10
ice nine	Critical Hit Percent: +10, HP Regen Min: 10, HP Regen Max: 20, MP Regen Min: 10, MP Regen Max: 20, Meat Drop: +30, PvP Fights: +5, Lasts Until Rollover
ice sickle	Monster Level: +15, Cold Damage: +5, Softcore Only
icy-hot katana	Hot Damage: +3, Cold Damage: +3
iFlail	Monster Level: +11, Familiar Weight: +5, Combat Rate: -5
immense cyborg hand	Weapon Damage: +5, Spooky Damage: +3, Stench Damage: +3, Hot Damage: +3, Cold Damage: +3, Sleaze Damage: +3
infernal fife	Hot Damage: +7
infernal toilet brush	Stench Damage: +20, Maximum HP: +20, Maximum MP: +20, Class: "Seal Clubber"
inflatable baseball bat	Weapon Damage: +30
iron dagger	Muscle: +3, Spell Damage: +10, Item Drop: +5
iron pasta spoon	Spell Damage: +10
ironic battle spoon	Spell Damage: +10
jack flapper	Spell Damage: +5
Jacob's rung	Maximum MP: +15, Spell Damage: +15
jungle drum	Spooky Damage: +10, Spooky Resistance: +2, Initiative: -20
keel-haulin' knife	Spell Damage: +17
Kentucky-fried meat crossbow	Moxie: +5
Kentucky-fried meat staff	Mysticality: +5
Kentucky-fried meat sword	Muscle: +5
kiwi beak	Food Drop: +25, Booze Drop: +25
kneecapping stick	Critical Hit Percent: +8
knob bugle	Weakens Monster
Knob Goblin deluxe scimitar	Muscle: +5
Knob Goblin elite polearm	Weapon Damage: +3
Knob Goblin melon baller	Spell Damage: +8
Knob Goblin scimitar	Muscle: +1
Knob Goblin spatula	Spell Damage: +4
Knob Goblin tongs	Spell Damage: +2
KoL Con Cinco Pi&ntilde;ata Bat	Maximum HP: +10, Maximum MP: +10, HP Regen Min: 1, HP Regen Max: 3, MP Regen Min: 1, MP Regen Max: 3, Softcore Only
law-abiding citizen cane	Maximum Hooch: +5, Single Equip
lawn dart	Muscle Percent: +15, Weapon Damage Percent: +20, Maximum HP: +300
lawnmower blade	Weapon Damage: +15
lead pipe	Muscle: +6, Mysticality: +6
# lead yo-yo
leechknife	Maximum HP: +10, Maximum MP: +5, HP Regen Min: 4, HP Regen Max: 6, MP Regen Min: 4, MP Regen Max: 6
# licorice whip: Candiful Crits
licorice whip	Critical Hit Percent: +5
lightning rod	Spell Damage Percent: +200, Maximum MP: +50, MP Regen Min: 5, MP Regen Max: 10, Lasts Until Rollover
linoleum crossbow	Moxie: +7, Spell Damage: +7
linoleum staff	Mysticality: +7, Spell Damage: +7
linoleum sword	Muscle: +7, Spell Damage: +7
little paper umbrella	Spell Damage: +1
live wire	Weapon Damage: +3, MP Regen Min: 2, MP Regen Max: 3
Loathing Legion chainsaw	Weapon Damage Percent: +100, Weakens Monster, Softcore Only
Loathing Legion double prism	Spooky Damage: +2, Stench Damage: +2, Hot Damage: +2, Cold Damage: +2, Sleaze Damage: +2, Softcore Only
Loathing Legion flamethrower	Hot Damage: +20, Softcore Only
# Loathing Legion hammer: Gets the job done
Loathing Legion hammer	Softcore Only
logging hatchet	Weapon Damage: +5
# lucky ball-and-chain
lupine sword	Spooky Damage: +9, Synergetic
Mace of the Tortoise	Muscle: +7, Class: "Turtle Tamer"
machetito	Weapon Damage: +9
madius	Monster Level: +7
Mafia violin case	Muscle: +20, Weapon Damage: +30
magic whistle	Monster Level: +4, Familiar Weight: +1
magilaser blastercannon	Ranged Damage: +15, Hot Damage: +5
mama's squeezebox	Moxie: [3*(1+skill(Accordion Appreciation))], Class: "Accordion Thief", Song Duration: 8
mannequin leg	Sleaze Damage: +20, Moxie: +5, Class: "Seal Clubber"
massive sitar	Mysticality: +12, Spell Damage: +20
Maxwell's Silver Hammer	Mysticality: +10, Weapon Damage: +10
# Mayor Ghost's gavel: +50 Damage vs. Ghosts
# Mayor Ghost's gavel: Lets you hit ghosts with a gavel.
# Mayor Ghost's gavel: This gavel, specifically.
Mayor Ghost's gavel	Critical Hit Percent: +10, Weapon Damage: +30
# Meat Tenderizer is Murder: (+% to Muscle Based on Smithsness)
# Meat Tenderizer is Murder: 25% chance to gain an extra gallon of Fury when you gain a gallon of Fury.
Meat Tenderizer is Murder	Weapon Damage Percent: +20, Smithsness: +5, Class: "Seal Clubber", Muscle Percent: [2*K]
Meatcleaver	Meat Drop: +35, Weapon Damage Percent: +100
meatspout staff	Mysticality: +7, Adventures: +3, Meat Drop: +15
Mer-kin digpick	Weapon Damage: +30
Mer-kin dodgeball	PvP Fights: +7, Muscle Percent: +10, Moxie Percent: +10
Mer-kin dragnet	PvP Fights: +7, Muscle Percent: +10, Moxie Percent: +10
# Mer-kin finpaddle: +100% Damage vs. Mer-kin
# Mer-kin hookspear: Extracts Meat on Critical Hits
Mer-kin hookspear	Initiative: +20, Weapon Damage: +40
Mer-kin switchblade	PvP Fights: +7, Muscle Percent: +20, Moxie Percent: +10
# mecenary pistol: Allows the Use of Specialty Ammunition
mercenary pistol	Muscle: +10, Mysticality: +10, Moxie: +10, Never Fumble
# mecenary rifle: Allows the Use of Specialty Ammunition
mercenary rifle	Ranged Damage: +20, Initiative: +50
# Meteoid ice beam: On Critical:  Freeze Opponent
Meteoid ice beam	Cold Damage: +20, Critical Hit Percent: +10
