4
# Original familiar arena stats from Vladjimir's arena data
# http://www.therye.org/familiars/
#
# none - does nothing
# stat0 - vollyball-like
# stat1 - sombrero-like
# item0 - Item Drop
# item1 - Food Drop
# item2 - Booze Drop
# item3 - Candy Drop
# meat0 - Meat Drop
# combat0 - Physical Attack
# combat1 - Elemental Attack
# drop - special drop
# block - potato-like
# delevel - barrrnacle-like
# hp0 - restore hp during combat
# mp0 - restore mp during combat
# meat1 - drops meat during combat
# stat2 - grants stats during combat
# other0 - does other things during combat
# hp1 - restore hp after combat
# mp1 - restore mp after combat
# stat3 - grants stats after combat
# other1 - does other things after combat
# passive - passive effect
# underwater - breaths underwater
# variable - varies according to equipment or other factors.
#
# no.	name	image	type	larva	item	CM	SH	OC	H&S	attributes (optional)

207	Chocolate Lab	chocolab.gif	item0	chocolate puppy	chocolate leash	1	1	1	1	animal,haseyes,bite
208	Bad Vibe	lilbadvibe.gif	none	pet bad vibe	black gallstone	0	0	0	0	haseyes,object,spooky,evil,cantalk
209	Space Jellyfish	spacejelly.gif	underwater,delevel,drop	space planula	space jellybicycle	3	3	2	3	animal,flies,evil
210	Optimistic Candle	opticandle.gif	stat0,item0,drop	hopeful candle	pewter candlestick	2	3	3	3	haseyes,hot,cantalk
211	Robortender	robotender.gif	meat0,drop	unpowered Robortender	toggle switch (Bartend)	3	3	1	1	hashands,haseyes,technological,robot,cantalk
212	Cute Meteor	cutemeteor.gif	passive,combat1	cute meteoroid	meteor shower cap	1	1	1	1	haseyes,hot
213	XO Skeleton	xoskeleton.gif	item0,hp1,mp1,drop	xo-skeleton-in-a-box	exo-xo-skeleton-skeleton	1	3	2	2	hashands,haseyes,undead
214	Garbage Fire	dumpsterfire.gif	item0,hp1,mp1,drop	kerosene-soaked skip	fireproof skip lid	1	2	1	1	hot
215	Globmule	pokefam1.gif	none	Globmule		0	0	0	0	pokefam
216	Bluzzard	pokefam2.gif	none	Bluzzard		0	0	0	0	pokefam
217	Faux	pokefam3.gif	none	Faux		0	0	0	0	pokefam
218	Sledgehamster	pokefam4.gif	none	Sledgehamster		0	0	0	0	pokefam
219	Pimpsqueak	pokefam5.gif	none	Pimpsqueak		0	0	0	0	pokefam
220	Pillowbug	pokefam6.gif	none	Pillowbug		0	0	0	0	pokefam
221	Dressage	pokefam7.gif	none	Dressage		0	0	0	0	pokefam
222	Sequestrian	pokefam8.gif	none	Sequestrian		0	0	0	0	pokefam
223	Carpricorn	pokefam9.gif	none	Carpricorn		0	0	0	0	pokefam
224	Turpin	pokefam10.gif	none	Turpin		0	0	0	0	pokefam
225	Morphan	pokefam11.gif	none	Morphan		0	0	0	0	pokefam
226	Cycloney	pokefam12.gif	none	Cycloney		0	0	0	0	pokefam
227	Peaclock	pokefam13.gif	none	Peaclock		0	0	0	0	pokefam
228	Turtive	pokefam14.gif	none	Turtive		0	0	0	0	pokefam
229	Lepardner	pokefam15.gif	none	Lepardner		0	0	0	0	pokefam
230	Aiolion	pokefam16.gif	none	Aiolion		0	0	0	0	pokefam
231	Waifuton	pokefam17.gif	none	Waifuton		0	0	0	0	pokefam
232	Gorillape	pokefam18.gif	none	Gorillape		0	0	0	0	pokefam
233	Wendtigo	pokefam19.gif	none	Wendtigo		0	0	0	0	pokefam
234	Snoutlet	pokefam20.gif	none	Snoutlet		0	0	0	0	pokefam
235	Ruffalo	pokefam21.gif	none	Ruffalo		0	0	0	0	pokefam
236	Vaporpoise	pokefam22.gif	none	Vaporpoise		0	0	0	0	pokefam
237	Ghosprey	pokefam23.gif	none	Ghosprey		0	0	0	0	pokefam
238	Straypler	pokefam24.gif	none	Straypler		0	0	0	0	pokefam
239	Flan	pokefam25.gif	none	Flan		0	0	0	0	pokefam
240	Mustardigrade	pokefam26.gif	none	Mustardigrade		0	0	0	0	pokefam
241	Ched	pokefam27.gif	none	Ched		0	0	0	0	pokefam
242	Gazelleton	pokefam28.gif	none	Gazelleton		0	0	0	0	pokefam
243	Mechamelion	pokefam29.gif	none	Mechamelion		0	0	0	0	pokefam
244	Bicycle	pokefam30.gif	none	Bicycle		0	0	0	0	pokefam,phallic,object,cold
245	Vamprey	pokefam31.gif	none	Vamprey		0	0	0	0	pokefam
246	Wullabye	pokefam32.gif	none	Wullabye		0	0	0	0	pokefam
247	Nursine	pokefam33.gif	none	Nursine		0	0	0	0	pokefam
248	Cantelope	pokefam34.gif	none	Cantelope		0	0	0	0	pokefam
249	Ungulant	pokefam35.gif	none	Ungulant		0	0	0	0	pokefam
250	Caramel	pokefam36.gif	none	Caramel		0	0	0	0	pokefam
251	Oppossum	pokefam37.gif	none	Oppossum		0	0	0	0	pokefam
252	Amanitee	pokefam38.gif	none	Amanitee		0	0	0	0	pokefam
253	Smashmoth	pokefam39.gif	none	Smashmoth		0	0	0	0	pokefam
254	Vulgure	pokefam40.gif	none	Vulgure		0	0	0	0	pokefam
255	Squib	pokefam41.gif	none	Squib		0	0	0	0	pokefam
256	Trafikoan	pokefam42.gif	none	Trafikoan		0	0	0	0	pokefam
257	Slotter	pokefam43.gif	none	Slotter		0	0	0	0	pokefam
258	Shudder	pokefam44.gif	none	Shudder		0	0	0	0	pokefam
259	Glamare	pokefam45.gif	none	Glamare		0	0	0	0	pokefam
260	Unspeakachu	pokefam46.gif	combat0,mp0	Unspeakachu		3	3	1	3	animal,fast,evil
261	Stooper	pokefam47.gif	none	Stooper		1	3	2	1	animal,haseyes,bite
262	Disgeist	pokefam48.gif	passive	Disgeist		2	2	2	3	wearsclothes,haseyes,undead
263	Bowlet	pokefam49.gif	combat0,item0	Bowlet		2	1	2	2	haswings,animal,fast,flies
264	Cornbeefadon	pokefam50.gif	item0,meat0	Cornbeefadon		2	2	2	2	animal,haseyes,bite
265	Mu	pokefam8675309.gif	combat1,passive	Mu		3	2	3	2	animal,haseyes,fast
266	God Lobster	godlob.gif	stat0,variable,underwater	God Lobster Egg		0	0	0	0	animal,haseyes,spooky,evil,reallyevil
267	Cat Burglar	catburglar.gif	item0,meat0	kitten burglar	burglar/sleep mask	1	3	2	3	animal,haseyes,sleaze,fast,bite,wearsclothes
268	Party Mouse	partymouse.gif	stat0,drop	party pup	party mouse hat	1	1	2	1	animal,haseyes,bite
269	Yule Hound	yulehound.gif	hp1,mp1	yule pup	Crimbo dog sweater	2	3	1	1	animal,haseyes
270	Sausage Golem	saugrindgolem.gif	combat1,mp0	sausage golem	jar of magical relish	3	1	1	1	sleaze,hashands
271	Elf Operative	elfopelf.gif	stat0,item0,drop	elf sleeper agent	red-and-green microcamera	3	3	2	2	wearsclothes,haseyes,cantalk
272	Plastic Pirate Skull	pr_rogerskull.gif	delevel,hp1,mp1	Red Roger's skull	plastic pirate hat	0	0	0	0	haseyes,cantalk
273	Pet Coral	petcoral.gif	none,underwater	piece of coral		0	0	0	0	mineral,object,haseyes,polygonal
274	Pocket Professor	lilprofessoron.gif	item0,mp1	packaged Pocket Professor	Pocket Professor memory chip	0	2	2	3	technological,robot
275	Red-Nosed Snapper	redsnapper.gif	item0,underwater	red-spotted snapper roe	tinsel fin	3	3	3	3	animal,haseyes
276	Antique Nutcracker	nutcfigure.gif	stat0,drop	antique nutcracker figurine	nutcracking pliers	1	2	3	2	wearsclothes,bite
277	Piranha Plant	piranhaplant.gif	combat,stat0	pristine piranha seed	plastic piranha pot	3	3	3	3	bite
278	Left-Hand Man	lhmlarva.gif	none	sinistral homunculus		1	1	1	1	hashands
279	Melodramedary	camelcalf.gif	stat0,hp1,mp1	baby camelCalf	dromedary drinking helmet	3	3	0	0	animal,bite,haseyes
280	Ghost of Crimbo Carols	cghost_carols.gif	item0,other0	gregarious ghostling		0	0	0	0	haseyes,undead
281	Ghost of Crimbo Cheer	cghost_cheer.gif	stat0,other1	grinning ghostling		0	0	0	0	haseyes,undead
282	Ghost of Crimbo Commerce	cghost_commerce.gif	meat0,other0	greedy ghostling		0	0	0	0	haseyes,undead
283	Shorter-Order Cook	shortchef.gif	combat0,combat1,delevel,drop	shortest-order cook	blue plate	3	3	1	1	animal,wearsclothes,haseyes,hot,hashands
284	Vampire Vintner	vampvint.gif	item2,combat0,hp0,drop	bottled Vampire Vintner	French-Transylvanian Dictionary	2	3	2	3	undead
285	Arachnelf	arachnelf.gif	none	festive egg sac	Site Alpha ID badge	3	1	3	1
286	Synthetic Rock	synthrock.gif	none	synthetic rock		0	0	0	0	mineral,object,hard
287	Grey Goose	greygoose.gif	item0	grey gosling	grey down vest	1	2	3	3
288	Cookbookbat	bbat_fam.gif	item1,drop	mummified entombed cookbookbat	cookbookbat book	0	3	2	3
289	Mini-Trainbot	tbot_on.gif	combat1,hp1,mp1	deactivated mini-Trainbot	overloaded Yule battery	3	2	3	1	hashands
290	Hobo in Sheep's Clothing	hobosheep.gif	stat0,item0,drop	unoccupied sheep suit	half-height cigar	1	3	3	2
291	Pixel Rock	pixelrock.gif	none	pixel rock		0	0	0	0
292
293	Patriotic Eagle	pateagle.gif	combat0,stat1,mp0	sleeping patriotic eagle	claw-held flag	0	0	0	0
294	Jill-of-All-Trades	darkjill2f.gif	stat0,stat1,item0,meat0,combat0,drop,block,delevel,hp0,meat1,hp1,mp1,variable	Dark Jill-of-All-Trades	LED candle	1	2	3	3	organic,sentient,orb,haseyes,object,vegetable,food,edible,evil,spooky,hot,bite
